codigo;codigo_estacao;nome_estacao;subbacia_codigo;data;parametro;valor;latitude;longitude;municipio;uf;responsavel;operadora;origem_dados;status_estacao;unidade;data_consulta
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Bateria;12.9;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;14/10/2021 14:06:13
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;ChuvaAcum.;732.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Nivel;146.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Potencia;42.0;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
85236130.0;39575000;CANHOTINHO;39;2021-09-28 15:45:00;Vazao;0.13;-8.8825;-36.2186;CANHOTINHO;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-04-14 18:45:00;Bateria;12.7;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-04-14 18:45:00;ChuvaAcum.;238.2;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
9736190.0;39689000;CORRENTES II;39;2021-05-03 22:00:00;Potencia;43.0;-9.1242;-36.3392;CORRENTES;PE;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Bateria;13.3;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;ChuvaAcum.;62.0;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Nivel;247.0;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Potencia;40.0;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
91036130.0;39700000;SANTANA DO MUNDAÚ;39;2021-09-28 16:15:00;Vazao;10.41;-9.1678;-36.2175;SANTANA DO MUNDAU;AL;ANA;CPRM;RHN;Ativo;PE;
9036190.0;39715000;PALMEIRINA;39;2021-09-28 16:15:00;Bateria;13.8;-9.0019;-36.3264;PALMEIRINA;PE;ANA;CPRM;RHN;Ativo;PE;
9036190.0;39715000;PALMEIRINA;39;2021-09-28 16:15:00;ChuvaAcum.;443.8;-9.0019;-36.3264;PALMEIRINA;PE;ANA;CPRM;RHN;Ativo;PE;
9036190.0;39715000;PALMEIRINA;39;2021-09-28 16:15:00;Nivel;59.0;-9.0019;-36.3264;PALMEIRINA;PE;ANA;CPRM;RHN;Ativo;PE;
9036190.0;39715000;PALMEIRINA;39;2021-09-28 16:15:00;Potencia;40.0;-9.0019;-36.3264;PALMEIRINA;PE;ANA;CPRM;RHN;Ativo;PE;
9036190.0;39715000;PALMEIRINA;39;2021-09-28 16:15:00;Vazao;0.69;-9.0019;-36.3264;PALMEIRINA;PE;ANA;CPRM;RHN;Ativo;PE;
903630.0;39720000;SÃO JOSÉ DA LAJE;39;2021-08-25 12:15:00;Bateria;12.1;-9.0042;-36.0511;SÃO JOSÉ DA LAJE;AL;ANA;CPRM;RHN;Ativo;PE;
903630.0;39720000;SÃO JOSÉ DA LAJE;39;2021-08-25 12:15:00;ChuvaAcum.;1045.2;-9.0042;-36.0511;SÃO JOSÉ DA LAJE;AL;ANA;CPRM;RHN;Ativo;PE;
903630.0;39720000;SÃO JOSÉ DA LAJE;39;2021-08-25 12:15:00;Nivel;220.0;-9.0042;-36.0511;SÃO JOSÉ DA LAJE;AL;ANA;CPRM;RHN;Ativo;PE;
903630.0;39720000;SÃO JOSÉ DA LAJE;39;2021-08-25 12:15:00;Potencia;40.0;-9.0042;-36.0511;SÃO JOSÉ DA LAJE;AL;ANA;CPRM;RHN;Ativo;PE;
903630.0;39720000;SÃO JOSÉ DA LAJE;39;2021-08-25 12:15:00;Vazao;12.04;-9.0042;-36.0511;SÃO JOSÉ DA LAJE;AL;ANA;CPRM;RHN;Ativo;PE;
90936021.0;39740000;UNIÃO DOS PALMARES;39;2021-09-28 16:00:00;Bateria;13.3;-9.1544;-36.0358;UNIÃO DOS PALMARES;AL;ANA;CPRM;RHN;Ativo;PE;
90936021.0;39740000;UNIÃO DOS PALMARES;39;2021-09-28 16:00:00;ChuvaAcum.;44.6;-9.1544;-36.0358;UNIÃO DOS PALMARES;AL;ANA;CPRM;RHN;Ativo;PE;
90936021.0;39740000;UNIÃO DOS PALMARES;39;2021-09-28 16:00:00;Nivel;143.0;-9.1544;-36.0358;UNIÃO DOS PALMARES;AL;ANA;CPRM;RHN;Ativo;PE;
90936021.0;39740000;UNIÃO DOS PALMARES;39;2021-09-28 16:00:00;Potencia;40.0;-9.1544;-36.0358;UNIÃO DOS PALMARES;AL;ANA;CPRM;RHN;Ativo;PE;
90936021.0;39740000;UNIÃO DOS PALMARES;39;2021-09-28 16:00:00;Vazao;11.06;-9.1544;-36.0358;UNIÃO DOS PALMARES;AL;ANA;CPRM;RHN;Ativo;PE;
91835560.0;39760000;MURICI - PONTE;39;2021-09-28 16:00:00;Bateria;13.1;-9.3136;-35.9497;MURICI;AL;ANA;CPRM;RHN;Ativo;PE;
91835560.0;39760000;MURICI - PONTE;39;2021-09-28 16:00:00;ChuvaAcum.;404.2;-9.3136;-35.9497;MURICI;AL;ANA;CPRM;RHN;Ativo;PE;
91835560.0;39760000;MURICI - PONTE;39;2021-09-28 16:00:00;Nivel;106.0;-9.3136;-35.9497;MURICI;AL;ANA;CPRM;RHN;Ativo;PE;
91835560.0;39760000;MURICI - PONTE;39;2021-09-28 16:00:00;Potencia;35.0;-9.3136;-35.9497;MURICI;AL;ANA;CPRM;RHN;Ativo;PE;
91835560.0;39760000;MURICI - PONTE;39;2021-09-28 16:00:00;Vazao;13.93;-9.3136;-35.9497;MURICI;AL;ANA;CPRM;RHN;Ativo;PE;
92835520.0;39770000;FAZENDA BOA FORTUNA;39;2021-08-05 23:15:00;Bateria;0.0;-9.4672;-35.8597;RIO LARGO;AL;ANA;CPRM;RHN;Ativo;PE;
92835520.0;39770000;FAZENDA BOA FORTUNA;39;2021-09-28 16:00:00;ChuvaAcum.;383.0;-9.4672;-35.8597;RIO LARGO;AL;ANA;CPRM;RHN;Ativo;PE;
92835520.0;39770000;FAZENDA BOA FORTUNA;39;2021-08-05 23:15:00;Nivel;604.0;-9.4672;-35.8597;RIO LARGO;AL;ANA;CPRM;RHN;Ativo;PE;
92835520.0;39770000;FAZENDA BOA FORTUNA;39;2021-09-28 16:15:00;Potencia;43.0;-9.4672;-35.8597;RIO LARGO;AL;ANA;CPRM;RHN;Ativo;PE;
92835520.0;39770000;FAZENDA BOA FORTUNA;39;2021-08-05 23:15:00;Vazao;172.09;-9.4672;-35.8597;RIO LARGO;AL;ANA;CPRM;RHN;Ativo;PE;
92236140.0;39860000;VIÇOSA;39;2021-09-28 15:15:00;Bateria;13.7;-9.3792;-36.2492;VIÇOSA;AL;ANA;CPRM;RHN;Ativo;PE;
92236140.0;39860000;VIÇOSA;39;2021-09-28 15:15:00;ChuvaAcum.;48.2;-9.3792;-36.2492;VIÇOSA;AL;ANA;CPRM;RHN;Ativo;PE;
92236140.0;39860000;VIÇOSA;39;2021-09-28 15:15:00;Nivel;134.0;-9.3792;-36.2492;VIÇOSA;AL;ANA;CPRM;RHN;Ativo;PE;
92236140.0;39860000;VIÇOSA;39;2021-09-28 15:15:00;Potencia;43.0;-9.3792;-36.2492;VIÇOSA;AL;ANA;CPRM;RHN;Ativo;PE;
92236140.0;39860000;VIÇOSA;39;2021-09-28 15:15:00;Vazao;3.07;-9.3792;-36.2492;VIÇOSA;AL;ANA;CPRM;RHN;Ativo;PE;
9303610.0;39870000;ATALAIA;39;2021-08-31 17:00:00;Bateria;12.8;-9.5067;-36.0228;ATALAIA;AL;ANA;CPRM;RHN;Ativo;PE;
9303610.0;39870000;ATALAIA;39;2021-09-28 14:45:00;ChuvaAcum.;617.6;-9.5067;-36.0228;ATALAIA;AL;ANA;CPRM;RHN;Ativo;PE;
9303610.0;39870000;ATALAIA;39;2020-12-07 04:00:00;Nivel;114.0;-9.5067;-36.0228;ATALAIA;AL;ANA;CPRM;RHN;Ativo;PE;
9303610.0;39870000;ATALAIA;39;2021-09-28 16:00:00;Potencia;40.0;-9.5067;-36.0228;ATALAIA;AL;ANA;CPRM;RHN;Ativo;PE;
9303610.0;39870000;ATALAIA;39;2020-12-07 04:00:00;Vazao;1.3;-9.5067;-36.0228;ATALAIA;AL;ANA;CPRM;RHN;Ativo;PE;
101336500.0;49705000;PROPRIÁ;49;2021-07-12 09:00:00;Bateria;12.3;-10.2139;-36.8239;PROPRIÁ;SE;ANA;CPRM;RHN;Ativo;PE;
101336500.0;49705000;PROPRIÁ;49;2021-07-12 09:00:00;ChuvaAcum.;0.0;-10.2139;-36.8239;PROPRIÁ;SE;ANA;CPRM;RHN;Ativo;PE;
101336500.0;49705000;PROPRIÁ;49;2021-07-12 09:00:00;Potencia;40.0;-10.2139;-36.8239;PROPRIÁ;SE;ANA;CPRM;RHN;Ativo;PE;
101336500.0;49705000;PROPRIÁ;49;2021-08-16 07:00:00;Vazao;910.81;-10.2139;-36.8239;PROPRIÁ;SE;ANA;CPRM;RHN;Ativo;PE;
